country,name,playingrole,battingStyle,bowlingStyle,Images
Afghanistan,Hashmatullah Shahidi(c),Top order Batter,Left hand Bat,Right arm Offbreak,
Afghanistan,Ibrahim Zadran,Opening Batter,Right hand Bat,Right arm Medium fast,
Afghanistan,Ikram Alikhil,Wicketkeeper Batter,Left hand Bat,none,
Afghanistan,Najibullah Zadran,Middle order Batter,Left hand Bat,Right arm Offbreak,
Afghanistan,Rahmanullah Gurbaz,Wicketkeeper Batter,Right hand Bat,none,
Afghanistan,Riaz Hassan,Batter,Right hand Bat,none,
Afghanistan,Azmatullah Omarzai,Allrounder,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/347800/347832.4.jpg"
Afghanistan,Mohammad Nabi,Allrounder,Right hand Bat,Right arm Offbreak,
Afghanistan,Rahmat Shah,Allrounder,Right hand Bat,Legbreak Googly,
Afghanistan,Rashid Khan,Bowling Allrounder,Right hand Bat,Legbreak Googly,
Afghanistan,Abdul Rahman,Bowler,Right hand Bat,Right arm Fast medium,
Afghanistan,Fazalhaq Farooqi,Bowler,Right hand Bat,Left arm Fast medium,
Afghanistan,Mujeeb Ur Rahman,Bowler,Right hand Bat,Right arm Offbreak,
Afghanistan,Naveen-ul-Haq,Bowler,Right hand Bat,Right arm Medium fast,
Afghanistan,Noor Ahmad,Bowler,Right hand Bat,Left arm Wrist spin,
Australia,Alex Carey,Wicketkeeper Batter,Left hand Bat,none,
Australia,Travis Head,Middle order Batter,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321584.png"
Australia,Josh Inglis,Wicketkeeper Batter,Right hand Bat,none,
Australia,Marnus Labuschagne,Batter,Right hand Bat,Legbreak,
Australia,Steven Smith,Middle order Batter,Right hand Bat,Legbreak Googly,
Australia,David Warner,Opening Batter,Left hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316589.png"
Australia,Sean Abbott,Bowling Allrounder,Right hand Bat,Right arm Fast medium,
Australia,Cameron Green,Batting Allrounder,Right hand Bat,Right arm Fast medium,
Australia,Mitchell Marsh,Allrounder,Right hand Bat,Right arm Medium,
Australia,Glenn Maxwell,Batting Allrounder,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316657.png"
Australia,Marcus Stoinis,Batting Allrounder,Right hand Bat,Right arm Medium,
Australia,Pat Cummins(c),Bowler,Right hand Bat,Right arm Fast,
Australia,Josh Hazlewood,Bowler,Left hand Bat,Right arm Fast medium,
Australia,Mitchell Starc,Bowler,Left hand Bat,Left arm Fast,
Australia,Adam Zampa,Bowler,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321549.png"
Australia,Ashton Agar,Bowler,Left hand Bat,Slow Left arm Orthodox,
Bangladesh,Najmul Hossain Shanto(c),Top order Batter,Left hand Bat,Right arm Offbreak,
Bangladesh,Anamul Haque,Wicketkeeper Batter,Right hand Bat,none,
Bangladesh,Litton Das,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak,
Bangladesh,Mushfiqur Rahim,Wicketkeeper Batter,Right hand Bat,none,
Bangladesh,Tanzid Hasan,Opening Batter,Left hand Bat,none,
Bangladesh,Towhid Hridoy,Top order Batter,Right hand Bat,Right arm Offbreak,
Bangladesh,Mahedi Hasan,Allrounder,Right hand Bat,Right arm Offbreak,
Bangladesh,Mahmudullah,Allrounder,Right hand Bat,Right arm Offbreak,
Bangladesh,Mehidy Hasan Miraz,Allrounder,Right hand Bat,Right arm Offbreak,
Bangladesh,Shakib Al Hasan,Allrounder,Left hand Bat,Slow Left arm Orthodox,
Bangladesh,Hasan Mahmud,Bowler,Right hand Bat,Right arm Fast medium,
Bangladesh,Mustafizur Rahman,Bowler,Left hand Bat,Left arm Fast medium,
Bangladesh,Nasum Ahmed,Bowler,Left hand Bat,Slow Left arm Orthodox,
Bangladesh,Shoriful Islam,Bowler,Left hand Bat,Left arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323100/323175.png"
Bangladesh,Tanzim Hasan Sakib,Bowler,Right hand Bat,Right arm Medium,
Bangladesh,Taskin Ahmed,Bowler,Left hand Bat,Right arm Fast,
England,Jos Buttler (c),Wicketkeeper Batter,Right hand Bat,none,
England,Jonny Bairstow,Wicketkeeper Batter,Right hand Bat,Right arm Medium,
England,Harry Brook,Batter,Right hand Bat,Right arm Medium,
England,Dawid Malan,Top order Batter,Left hand Bat,Legbreak,
England,Joe Root,Top order Batter,Right hand Bat,"Right arm Offbreak, Legbreak",
England,Jason Roy,Opening Batter,Right hand Bat,none,
England,Moeen Ali,Batting Allrounder,Left hand Bat,Right arm Offbreak,
England,Brydon Carse,Bowling Allrounder,Right hand Bat,Right arm Fast,
England,Sam Curran,Allrounder,Left hand Bat,Left arm Medium fast,
England,Liam Livingstone,Batting Allrounder,Right hand Bat,"Right arm Offbreak, Legbreak",
England,Ben Stokes,Allrounder,Left hand Bat,Right arm Fast medium,
England,David Willey,Bowling Allrounder,Left hand Bat,Left arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322900/322904.png"
England,Chris Woakes,Allrounder,Right hand Bat,Right arm Fast medium,
England,Gus Atkinson,Bowler,Right hand Bat,Right arm Fast medium,
England,Adil Rashid,Bowler,Right hand Bat,Legbreak,
England,Mark Wood,Bowler,Right hand Bat,Right arm Fast,
England,Reece Topley,Bowler,Right hand Bat,Left arm Fast medium,
India,Rohit Sharma(c),Top order Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316584.png"
India,Ishan Kishan,Wicketkeeper Batter,Left hand Bat,none,
India,Shreyas Iyer,Top order Batter,Right hand Bat,"Right arm Offbreak, Legbreak Googly","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323035.png"
India,Virat Kohli,Top order Batter,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316605.png"
India,KL Rahul,Wicketkeeper Batter,Right hand Bat,none,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319942.png"
India,Shubman Gill,Opening Batter,Right hand Bat,Right arm Offbreak,
India,Suryakumar Yadav,Batter,Right hand Bat,"Right arm Medium, Right arm Offbreak",
India,Ravichandran Ashwin,Bowling Allrounder,Right hand Bat,Right arm Offbreak,
India,Ravindra Jadeja,Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316600.png"
India,Hardik Pandya,Allrounder,Right hand Bat,Right arm Medium fast,
India,Axar Patel,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox,
